shipment_id,shipment_type,source_city,destination_city,material_type,quantity_tonnes,booking_date,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_days,delay_flag,shipping_cost,expedite_surcharge,stockout_cost_per_tonne,carrier,temperature_sensitive,remarks
SHP0038,Inbound,Chennai,Surat,Semi-Processed Yarn,16.41,2025-09-04,2025-09-07,2025-09-09,2025-09-06 19:00:00,2025-09-09 19:12:00,0.8,1,7074.95,2095.84,714.59,VRL Cargo,No,Damaged
SHP0039,Inbound,Gujarat,Surat,Semi-Processed Yarn,8.17,2025-01-12,2025-01-15,2025-01-17,2025-01-15 04:00:00,2025-01-16 00:00:00,-1.0,0,3687.07,2127.42,618.16,Delhivery,Yes,Normal
SHP0040,Outbound,Surat,Uttarakhand,Raw Yarn,14.24,2025-07-08,2025-07-12,2025-07-17,2025-07-12 03:00:00,2025-07-23 16:48:00,6.7,1,7261.72,1709.76,1250.61,GATI Logistics,Yes,Expedited
SHP0041,Inbound,Rajasthan,Surat,Raw Yarn,16.33,2025-10-25,2025-10-27,2025-10-30,2025-10-27 01:00:00,2025-11-02 12:00:00,3.5,1,12363.94,2715.98,1250.87,TCI Express,Yes,Expedited
SHP0042,Inbound,Rajasthan,Surat,Semi-Processed Yarn,15.34,2025-01-31,2025-02-04,2025-02-09,2025-02-04 03:00:00,2025-02-08 00:00:00,-1.0,0,7906.08,2556.81,510.84,TCI Express,No,Damaged
SHP0043,Outbound,Surat,Uttarakhand,Finished Yarn,18.2,2025-01-28,2025-01-30,2025-02-04,2025-01-29 23:00:00,2025-02-11 16:48:00,7.7,1,6280.44,3214.81,712.73,TCI Express,Yes,Expedited
SHP0044,Inbound,Gujarat,Surat,Finished Yarn,18.98,2025-08-23,2025-08-24,2025-08-30,2025-08-24 04:00:00,2025-09-04 04:48:00,5.2,1,15485.59,1223.48,1237.04,Delhivery,Yes,Held at warehouse
SHP0045,Inbound,Uttar Pradesh,Surat,Semi-Processed Yarn,11.37,2025-07-31,2025-08-04,2025-08-06,2025-08-04 07:00:00,2025-08-09 19:12:00,3.8,1,6736.82,1890.31,896.65,Delhivery,Yes,Normal
SHP0046,Outbound,Surat,Madhya Pradesh,Raw Yarn,17.95,2025-02-13,2025-02-16,2025-02-20,2025-02-16 02:00:00,2025-02-26 02:24:00,6.1,1,6998.14,4251.2,1447.25,GATI Logistics,Yes,Expedited
SHP0047,Inbound,Uttar Pradesh,Surat,Raw Yarn,19.73,2025-08-15,2025-08-17,2025-08-21,2025-08-17 05:00:00,2025-08-23 21:36:00,2.9,1,6618.3,2737.81,753.68,Delhivery,Yes,Returned
SHP0048,Inbound,Uttar Pradesh,Surat,Finished Yarn,8.7,2025-06-21,2025-06-24,2025-06-30,2025-06-24 09:00:00,2025-07-06 09:36:00,6.4,1,5863.35,3333.48,1462.17,Delhivery,No,Held at warehouse
SHP0049,Inbound,Punjab,Surat,Raw Yarn,8.12,2025-03-27,2025-03-31,2025-04-06,2025-03-31 05:00:00,2025-04-08 04:48:00,2.2,1,4751.57,3781.64,575.43,BlueDart,No,Expedited
SHP0050,Outbound,Surat,Kerala,Semi-Processed Yarn,4.16,2025-03-07,2025-03-09,2025-03-11,2025-03-08 23:00:00,2025-03-16 00:00:00,5.0,1,2888.03,3948.4,1415.25,BlueDart,Yes,Normal
SHP0051,Inbound,Uttar Pradesh,Surat,Raw Yarn,19.22,2025-01-18,2025-01-20,2025-01-25,2025-01-19 22:00:00,2025-01-24 00:00:00,-1.0,0,7873.62,3334.62,577.73,GATI Logistics,Yes,Returned
SHP0052,Inbound,Punjab,Surat,Raw Yarn,19.51,2025-10-23,2025-10-26,2025-10-28,2025-10-26 03:00:00,2025-10-28 12:00:00,0.5,1,9195.42,3738.92,662.62,VRL Cargo,No,Held at warehouse
SHP0053,Inbound,Uttar Pradesh,Surat,Finished Yarn,18.31,2025-09-04,2025-09-08,2025-09-14,2025-09-08 02:00:00,2025-09-13 00:00:00,-1.0,0,11241.37,1659.34,911.26,BlueDart,Yes,Returned
SHP0054,Inbound,Gujarat,Surat,Raw Yarn,15.77,2025-05-25,2025-05-29,2025-06-02,2025-05-28 23:00:00,2025-06-09 12:00:00,7.5,1,8278.49,4316.66,1069.08,BlueDart,Yes,Normal
SHP0055,Outbound,Surat,Assam,Semi-Processed Yarn,2.21,2025-01-12,2025-01-13,2025-01-19,2025-01-12 23:00:00,2025-01-21 00:00:00,2.0,1,2558.06,2511.4,741.08,BlueDart,Yes,Held at warehouse
SHP0056,Inbound,Punjab,Surat,Finished Yarn,4.9,2025-03-17,2025-03-19,2025-03-24,2025-03-19 08:00:00,2025-03-26 02:24:00,2.1,1,4350.08,1187.59,768.67,TCI Express,No,Normal
SHP0057,Inbound,Rajasthan,Surat,Semi-Processed Yarn,1.42,2025-05-30,2025-06-01,2025-06-05,2025-06-01 00:00:00,2025-06-10 12:00:00,5.5,1,1462.07,4167.27,1089.96,GATI Logistics,Yes,Held at warehouse
SHP0058,Outbound,Surat,Kerala,Raw Yarn,10.12,2025-05-07,2025-05-11,2025-05-14,2025-05-11 05:00:00,2025-05-16 04:48:00,2.2,1,3286.84,1058.18,850.59,TCI Express,No,Returned
SHP0059,Inbound,Gujarat,Surat,Finished Yarn,12.21,2025-04-28,2025-04-30,2025-05-03,2025-04-30 02:00:00,2025-05-05 14:24:00,2.6,1,6835.15,3094.41,1197.64,VRL Cargo,Yes,Held at warehouse
SHP0060,Inbound,Chennai,Surat,Semi-Processed Yarn,16.13,2025-05-18,2025-05-22,2025-05-24,2025-05-22 06:00:00,2025-05-23 00:00:00,-1.0,0,3783.17,3483.22,847.41,VRL Cargo,Yes,Held at warehouse
SHP0061,Inbound,Gujarat,Surat,Semi-Processed Yarn,4.97,2025-06-23,2025-06-25,2025-06-27,2025-06-25 05:00:00,2025-07-06 00:00:00,9.0,1,2748.18,1727.52,845.67,VRL Cargo,Yes,Normal
SHP0062,Inbound,Uttar Pradesh,Surat,Semi-Processed Yarn,18.04,2025-05-23,2025-05-26,2025-05-29,2025-05-26 07:00:00,2025-05-28 00:00:00,-1.0,0,4680.53,1675.74,778.59,Delhivery,Yes,Expedited
SHP0063,Outbound,Surat,Assam,Semi-Processed Yarn,4.36,2025-01-27,2025-01-28,2025-01-30,2025-01-27 19:00:00,2025-02-03 09:36:00,4.4,1,3247.29,1157.25,1299.41,GATI Logistics,Yes,Held at warehouse
SHP0064,Outbound,Surat,Karnataka,Finished Yarn,12.93,2025-01-25,2025-01-29,2025-02-04,2025-01-28 19:00:00,2025-02-05 02:24:00,1.1,1,6357.84,3993.04,684.52,VRL Cargo,No,Expedited
SHP0065,Outbound,Surat,Madhya Pradesh,Semi-Processed Yarn,4.98,2025-04-22,2025-04-24,2025-04-27,2025-04-23 20:00:00,2025-04-29 14:24:00,2.6,1,2570.11,2009.75,1213.35,GATI Logistics,No,Expedited
SHP0066,Inbound,Rajasthan,Surat,Semi-Processed Yarn,18.01,2025-06-03,2025-06-06,2025-06-12,2025-06-05 20:00:00,2025-06-18 19:12:00,6.8,1,8232.54,1969.88,769.24,BlueDart,Yes,Expedited
SHP0067,Inbound,Chennai,Surat,Semi-Processed Yarn,8.17,2025-01-07,2025-01-09,2025-01-12,2025-01-09 07:00:00,2025-01-11 00:00:00,-1.0,0,5214.86,4156.68,998.44,BlueDart,No,Normal
SHP0068,Outbound,Surat,Kerala,Semi-Processed Yarn,2.65,2025-06-11,2025-06-14,2025-06-16,2025-06-14 06:00:00,2025-06-18 14:24:00,2.6,1,1629.21,2452.33,1145.92,Delhivery,No,Returned
SHP0069,Inbound,Gujarat,Surat,Raw Yarn,11.84,2025-04-17,2025-04-21,2025-04-27,2025-04-20 22:00:00,2025-04-27 02:24:00,0.1,1,5505.21,4223.46,555.65,BlueDart,Yes,Returned
SHP0070,Outbound,Surat,Kerala,Raw Yarn,17.0,2025-01-16,2025-01-17,2025-01-23,2025-01-16 22:00:00,2025-01-22 00:00:00,-1.0,0,13542.48,3303.99,1417.4,GATI Logistics,No,Held at warehouse
SHP0071,Outbound,Surat,West Bengal,Semi-Processed Yarn,1.1,2025-10-20,2025-10-22,2025-10-26,2025-10-22 05:00:00,2025-10-29 16:48:00,3.7,1,1402.98,4077.97,687.04,Delhivery,Yes,Damaged
SHP0072,Outbound,Surat,Gujarat,Semi-Processed Yarn,7.15,2025-05-08,2025-05-11,2025-05-13,2025-05-11 06:00:00,2025-05-17 12:00:00,4.5,1,3285.01,2154.52,1081.24,GATI Logistics,No,Normal
SHP0073,Inbound,Uttar Pradesh,Surat,Finished Yarn,3.93,2025-05-25,2025-05-28,2025-05-30,2025-05-27 23:00:00,2025-05-29 19:12:00,-0.2,0,2778.0,2289.42,1309.87,VRL Cargo,No,Damaged
SHP0074,Inbound,Punjab,Surat,Finished Yarn,5.84,2025-07-24,2025-07-28,2025-08-01,2025-07-28 09:00:00,2025-07-31 00:00:00,-1.0,0,3258.56,2395.47,1429.53,BlueDart,Yes,Held at warehouse
SHP0075,Inbound,Rajasthan,Surat,Semi-Processed Yarn,16.78,2025-10-17,2025-10-18,2025-10-22,2025-10-18 00:00:00,2025-10-24 07:12:00,2.3,1,6193.93,4311.76,1250.5,TCI Express,No,Returned
SHP0076,Inbound,Rajasthan,Surat,Finished Yarn,16.19,2025-09-05,2025-09-06,2025-09-10,2025-09-06 05:00:00,2025-09-11 12:00:00,1.5,1,10502.4,2264.79,1088.31,TCI Express,Yes,Returned
SHP0077,Inbound,Rajasthan,Surat,Finished Yarn,13.98,2025-05-16,2025-05-19,2025-05-23,2025-05-19 09:00:00,2025-05-27 02:24:00,4.1,1,5683.28,4598.3,883.89,GATI Logistics,No,Held at warehouse
SHP0078,Inbound,Uttar Pradesh,Surat,Finished Yarn,11.33,2025-09-29,2025-10-02,2025-10-06,2025-10-02 00:00:00,2025-10-14 14:24:00,8.6,1,8007.1,2339.62,639.27,BlueDart,No,Damaged
SHP0079,Inbound,Chennai,Surat,Finished Yarn,16.09,2025-07-06,2025-07-09,2025-07-13,2025-07-08 19:00:00,2025-07-13 12:00:00,0.5,1,10263.15,1572.51,704.54,TCI Express,Yes,Normal
SHP0080,Inbound,Uttar Pradesh,Surat,Semi-Processed Yarn,14.57,2025-05-29,2025-06-02,2025-06-08,2025-06-02 09:00:00,2025-06-11 04:48:00,3.2,1,6237.65,3415.83,1002.29,GATI Logistics,Yes,Held at warehouse
SHP0081,Inbound,Chennai,Surat,Raw Yarn,11.26,2025-05-26,2025-05-28,2025-06-03,2025-05-27 21:00:00,2025-06-07 14:24:00,4.6,1,6717.82,3396.12,1326.8,GATI Logistics,Yes,Expedited
SHP0082,Outbound,Surat,Madhya Pradesh,Semi-Processed Yarn,19.22,2025-04-13,2025-04-14,2025-04-17,2025-04-14 08:00:00,2025-04-23 02:24:00,6.1,1,12067.03,1556.46,600.79,TCI Express,Yes,Damaged
SHP0083,Inbound,Chennai,Surat,Raw Yarn,5.86,2025-08-06,2025-08-09,2025-08-14,2025-08-09 02:00:00,2025-08-21 07:12:00,7.3,1,2778.77,4084.99,874.44,GATI Logistics,Yes,Damaged
SHP0084,Inbound,Uttar Pradesh,Surat,Semi-Processed Yarn,2.31,2025-01-24,2025-01-25,2025-01-27,2025-01-25 00:00:00,2025-01-30 19:12:00,3.8,1,1854.42,1943.62,665.52,GATI Logistics,Yes,Normal
SHP0085,Inbound,Rajasthan,Surat,Finished Yarn,4.54,2025-09-09,2025-09-11,2025-09-15,2025-09-11 03:00:00,2025-09-14 00:00:00,-1.0,0,2757.78,4151.16,1103.72,Delhivery,No,Damaged
SHP0086,Outbound,Surat,Uttarakhand,Semi-Processed Yarn,3.17,2025-05-05,2025-05-09,2025-05-12,2025-05-09 01:00:00,2025-05-18 14:24:00,6.6,1,2585.05,2808.87,724.6,Delhivery,No,Expedited
SHP0087,Outbound,Surat,Jaipur,Semi-Processed Yarn,9.6,2025-02-12,2025-02-13,2025-02-18,2025-02-12 19:00:00,2025-02-22 09:36:00,4.4,1,5138.43,1880.39,712.68,BlueDart,Yes,Held at warehouse
SHP0088,Outbound,Surat,Uttarakhand,Semi-Processed Yarn,10.79,2025-10-20,2025-10-22,2025-10-27,2025-10-22 00:00:00,2025-10-28 12:00:00,1.5,1,6981.36,1737.85,799.6,VRL Cargo,No,Damaged
SHP0089,Inbound,Punjab,Surat,Raw Yarn,6.89,2025-04-30,2025-05-02,2025-05-06,2025-05-01 19:00:00,2025-05-06 16:48:00,0.7,1,2773.61,3259.36,565.71,BlueDart,No,Held at warehouse
SHP0090,Outbound,Surat,Madhya Pradesh,Raw Yarn,15.74,2025-05-16,2025-05-19,2025-05-24,2025-05-18 19:00:00,2025-05-23 00:00:00,-1.0,0,7198.64,1620.96,681.93,VRL Cargo,Yes,Damaged
SHP0091,Outbound,Surat,Gujarat,Raw Yarn,17.37,2025-10-11,2025-10-13,2025-10-16,2025-10-12 19:00:00,2025-10-18 04:48:00,2.2,1,4188.53,3863.89,1158.92,TCI Express,No,Held at warehouse
SHP0092,Inbound,Rajasthan,Surat,Raw Yarn,1.51,2025-03-08,2025-03-09,2025-03-13,2025-03-09 09:00:00,2025-03-17 21:36:00,4.9,1,1144.28,4199.66,678.54,VRL Cargo,No,Damaged
SHP0093,Outbound,Surat,Mumbai,Finished Yarn,13.4,2025-03-13,2025-03-14,2025-03-18,2025-03-14 01:00:00,2025-03-19 04:48:00,1.2,1,5892.9,1342.03,707.89,TCI Express,No,Normal
SHP0094,Outbound,Surat,Kerala,Semi-Processed Yarn,1.5,2025-02-24,2025-02-27,2025-03-04,2025-02-26 20:00:00,2025-03-03 00:00:00,-1.0,0,2335.09,2367.27,759.42,TCI Express,Yes,Damaged
SHP0095,Inbound,Rajasthan,Surat,Semi-Processed Yarn,8.21,2025-06-27,2025-06-29,2025-07-05,2025-06-29 03:00:00,2025-07-10 14:24:00,5.6,1,3738.95,4793.81,1263.61,GATI Logistics,No,Held at warehouse
SHP0096,Outbound,Surat,Karnataka,Finished Yarn,3.66,2025-09-18,2025-09-20,2025-09-22,2025-09-19 20:00:00,2025-09-22 00:00:00,-0.0,0,1735.72,3166.54,1133.48,VRL Cargo,No,Expedited
SHP0097,Outbound,Surat,Uttarakhand,Raw Yarn,5.9,2025-02-11,2025-02-15,2025-02-20,2025-02-15 00:00:00,2025-02-25 07:12:00,5.3,1,3351.73,3306.07,774.06,TCI Express,Yes,Normal
SHP0098,Outbound,Surat,Assam,Semi-Processed Yarn,11.53,2025-07-15,2025-07-19,2025-07-25,2025-07-19 04:00:00,2025-07-30 12:00:00,5.5,1,3731.87,2065.99,1232.18,VRL Cargo,Yes,Held at warehouse
SHP0099,Inbound,Chennai,Surat,Semi-Processed Yarn,5.76,2025-07-09,2025-07-11,2025-07-14,2025-07-11 06:00:00,2025-07-15 12:00:00,1.5,1,3816.61,2415.49,1458.63,BlueDart,No,Damaged
SHP0100,Inbound,Rajasthan,Surat,Semi-Processed Yarn,4.5,2025-01-28,2025-02-01,2025-02-07,2025-01-31 23:00:00,2025-02-11 09:36:00,4.4,1,3351.35,4662.05,1221.53,GATI Logistics,No,Normal
SHP0101,Outbound,Surat,Mumbai,Semi-Processed Yarn,12.6,2025-10-12,2025-10-14,2025-10-20,2025-10-14 09:00:00,2025-10-19 00:00:00,-1.0,0,5488.31,1205.7,996.37,VRL Cargo,Yes,Normal
SHP0102,Outbound,Surat,Gujarat,Raw Yarn,12.34,2025-04-11,2025-04-15,2025-04-21,2025-04-15 03:00:00,2025-04-22 14:24:00,1.6,1,4906.47,2981.97,1188.4,GATI Logistics,Yes,Expedited
SHP0103,Inbound,Gujarat,Surat,Finished Yarn,9.26,2025-03-15,2025-03-19,2025-03-25,2025-03-18 19:00:00,2025-03-30 00:00:00,5.0,1,4735.54,2784.02,685.13,VRL Cargo,No,Held at warehouse
SHP0104,Outbound,Surat,Assam,Finished Yarn,11.3,2025-09-19,2025-09-22,2025-09-28,2025-09-21 19:00:00,2025-09-28 04:48:00,0.2,1,7056.63,4396.78,749.67,Delhivery,Yes,Expedited
SHP0105,Outbound,Surat,Madhya Pradesh,Finished Yarn,10.3,2025-03-08,2025-03-12,2025-03-18,2025-03-12 01:00:00,2025-03-19 02:24:00,1.1,1,7310.37,2892.84,812.85,GATI Logistics,No,Returned
SHP0106,Outbound,Surat,Karnataka,Semi-Processed Yarn,3.29,2025-08-08,2025-08-09,2025-08-12,2025-08-09 05:00:00,2025-08-14 07:12:00,2.3,1,2931.74,4448.17,1344.55,VRL Cargo,Yes,Returned
SHP0107,Outbound,Surat,Gujarat,Raw Yarn,7.06,2025-09-06,2025-09-07,2025-09-11,2025-09-06 21:00:00,2025-09-10 09:36:00,-0.6,0,4034.1,3899.07,565.36,BlueDart,Yes,Returned
SHP0108,Outbound,Surat,West Bengal,Finished Yarn,6.99,2025-06-11,2025-06-15,2025-06-17,2025-06-15 07:00:00,2025-06-27 04:48:00,10.2,1,5269.59,3463.45,732.96,TCI Express,No,Normal
SHP0109,Inbound,Punjab,Surat,Raw Yarn,1.46,2025-09-19,2025-09-20,2025-09-26,2025-09-19 21:00:00,2025-09-30 02:24:00,4.1,1,1066.92,1210.74,588.54,TCI Express,No,Normal
SHP0110,Inbound,Punjab,Surat,Finished Yarn,1.71,2025-05-24,2025-05-27,2025-06-01,2025-05-27 09:00:00,2025-06-03 02:24:00,2.1,1,1336.31,2345.48,1022.52,TCI Express,Yes,Damaged
SHP0111,Inbound,Uttar Pradesh,Surat,Finished Yarn,14.91,2025-01-02,2025-01-04,2025-01-07,2025-01-04 03:00:00,2025-01-06 00:00:00,-1.0,0,7505.55,1180.4,609.47,BlueDart,No,Damaged
SHP0112,Inbound,Uttar Pradesh,Surat,Semi-Processed Yarn,8.44,2025-02-07,2025-02-11,2025-02-17,2025-02-11 07:00:00,2025-02-16 16:48:00,-0.3,0,4052.58,4929.32,1384.2,BlueDart,Yes,Normal
SHP0113,Inbound,Rajasthan,Surat,Raw Yarn,12.42,2025-09-29,2025-10-03,2025-10-08,2025-10-03 07:00:00,2025-10-09 14:24:00,1.6,1,7235.57,3050.75,730.67,TCI Express,No,Held at warehouse
SHP0114,Inbound,Punjab,Surat,Raw Yarn,4.35,2025-03-08,2025-03-09,2025-03-13,2025-03-09 02:00:00,2025-03-13 00:00:00,0.0,0,1955.75,4876.41,1383.79,TCI Express,Yes,Held at warehouse
SHP0115,Outbound,Surat,West Bengal,Semi-Processed Yarn,18.63,2025-10-26,2025-10-27,2025-10-30,2025-10-26 19:00:00,2025-10-29 00:00:00,-1.0,0,7659.04,1897.76,723.82,Delhivery,No,Returned
